,precision,recall,f1-score,support
Burt Plain,0.631578947368421,1.0,0.7741935483870968,24.0
Central Ranges,0.3076923076923077,0.18181818181818182,0.22857142857142856,22.0
Channel Country,0.15789473684210525,0.23076923076923078,0.1875,13.0
Finke,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0
Gawler,0.5,0.3333333333333333,0.4,3.0
Great Victoria Desert,0.1,0.05263157894736842,0.06896551724137931,19.0
MacDonnell Ranges,0.3,0.3,0.3,10.0
Mitchell Grass Downs,0.7142857142857143,0.625,0.6666666666666666,8.0
Murray-Darling Depression,0.17647058823529413,0.17647058823529413,0.17647058823529413,17.0
Simpson Strzelecki Dunefields,0.4666666666666667,0.7,0.56,10.0
Tanami,0.0,0.0,0.0,3.0
accuracy,0.4,0.4,0.4,0.4
macro avg,0.3698976977614748,0.3685971243317148,0.3561748458779474,140.0
weighted avg,0.36869894516511054,0.4,0.36858218472780285,140.0
