ibra_bioregion,n,mean_peak,mean_snr
Burt Plain,119,1331.8218487394956,15.950420168067225
Central Ranges,112,1304.7357142857143,16.197321428571428
Channel Country,64,1223.890625,16.4421875
Finke,53,1249.1264150943396,16.245283018867923
Gawler,15,1205.2533333333333,14.773333333333333
Great Victoria Desert,97,1334.3783505154638,15.66082474226804
MacDonnell Ranges,49,1238.4918367346938,15.822448979591837
Mitchell Grass Downs,42,1522.0809523809523,14.823809523809524
Murray-Darling Depression,84,1279.865476190476,15.484523809523811
Simpson Strzelecki Dunefields,50,1171.5839999999998,16.804000000000002
Tanami,13,1496.6307692307694,13.86923076923077
