season,label,count
Autumn,Central Ranges,39
Autumn,Channel Country,48
Autumn,Great Victoria Desert,83
Autumn,MacDonnell Ranges,12
Autumn,Mitchell Grass Downs,2
Autumn,Murray-Darling Depression,19
Autumn,Tanami,1
Spring,Burt Plain,119
Spring,Central Ranges,1
Spring,Channel Country,5
Spring,Great Victoria Desert,14
Spring,MacDonnell Ranges,33
Spring,Mitchell Grass Downs,3
Spring,Murray-Darling Depression,52
Spring,Simpson Strzelecki Dunefields,25
Spring,Tanami,2
Summer,Central Ranges,51
Summer,Channel Country,5
Summer,Finke,53
Summer,Gawler,6
Summer,MacDonnell Ranges,4
Summer,Mitchell Grass Downs,29
Summer,Murray-Darling Depression,7
Summer,Simpson Strzelecki Dunefields,3
Winter,Central Ranges,21
Winter,Channel Country,6
Winter,Gawler,9
Winter,Mitchell Grass Downs,8
Winter,Murray-Darling Depression,6
Winter,Simpson Strzelecki Dunefields,22
Winter,Tanami,10
